股票名稱,持股比率,產業類別,持股比率
台泥,0.77%,水泥工業,1.16%
亞泥,0.39%,水泥工業,1.16%
統一,1.95%,食品工業,1.95%
台塑,2.99%,塑膠工業,7.90%
南亞塑膠,2.72%,塑膠工業,7.90%
台化,2.19%,塑膠工業,7.90%
遠東新,0.61%,紡織纖維,0.61%
中鋼,1.71%,鋼鐵工業,1.71%
正新,0.51%,橡膠工業,0.51%
台灣高鐵,0.28%,航運業,0.28%
彰化銀行,0.59%,金融保險業,16.71%
中壽,0.43%,金融保險業,16.71%
華南金,0.85%,金融保險業,16.71%
富邦金,2.18%,金融保險業,16.71%
國泰金,2.44%,金融保險業,16.71%
開發金,0.84%,金融保險業,16.71%
玉山金控,1.11%,金融保險業,16.71%
元大金,0.91%,金融保險業,16.71%
兆豐金,1.62%,金融保險業,16.71%
台新金控,0.80%,金融保險業,16.71%
永豐金控,0.63%,金融保險業,16.71%
中信金,2.27%,金融保險業,16.71%
第一金控,1.15%,金融保險業,16.71%
合庫金,0.89%,金融保險業,16.71%
統一超,0.97%,貿易百貨,0.97%
中租-KY,0.71%,其他,1.33%
寶成工業,0.62%,其他,1.33%
台塑石化,0.95%,油電燃氣業,0.95%
聯電,1.08%,半導體業,41.84%
日月光,1.69%,半導體業,41.84%
矽品,0.66%,半導體業,41.84%
台積電,35.03%,半導體業,41.84%
南亞科,0.42%,半導體業,41.84%
聯發科,2.96%,半導體業,41.84%
光寶科技,0.52%,電腦及週邊設備業,4.41%
仁寶電腦,0.49%,電腦及週邊設備業,4.41%
華碩,1.15%,電腦及週邊設備業,4.41%
廣達,0.93%,電腦及週邊設備業,4.41%
研華,0.46%,電腦及週邊設備業,4.41%
和碩,0.86%,電腦及週邊設備業,4.41%
友達,0.71%,光電業,3.41%
大立光,2.03%,光電業,3.41%
群創光電,0.67%,光電業,3.41%
中華電,2.53%,通信網路業,4.30%
台灣大,1.03%,通信網路業,4.30%
遠傳,0.74%,通信網路業,4.30%
台達電,1.66%,電子零組件業,1.66%
鴻海,7.79%,其他電子業,9.86%
鴻準,0.52%,其他電子業,9.86%
可成科技,1.55%,其他電子業,9.86%
小計：上市總持股,99.56%,,
小計：上櫃總持股,---%,,
小計：台灣總持股,99.56%,,
總計：,99.56%,,
